"report_date","ticker","rsi_1","rsi_2","rsi_3","rsi_4","rsi_5","rsi_6","rsi_7","rsi_8","rsi_9","rsi_10","rsi_11","rsi_12","rsi_13","rsi_14","rsi_15","rsi_16","rsi_17","rsi_18","rsi_19","rsi_20","sma_10","sma_20","sma_50","sma_200","ema_10","ema_20","ema_50","ema_200","macd_12_26_9_line","macd_12_26_9_signal","macd_12_26_9_histogram","rv_10","rv_20","rv_30","rv_60","hls_10","hls_20","obv"
2012-11-02,AAPL,0.0,5.8206353,4.1160784,3.4678967,2.8726301,10.208957,7.040975,31.806154,25.422525,22.999113,22.087946,30.120722,32.460377,33.173706,30.602114,32.663956,32.22498,29.740704,27.640856,27.016653,79.22622,81.38868,85.35577,76.58994,78.93428,81.00066,82.82479,75.60544,-2.3581324,-1.7846699,-0.57346255,38.118786,31.160421,28.76848,25.43383,1.0460914,0.9643351,32961652500
2012-11-05,AAPL,100.0,28.374424,31.410686,24.1324,21.023254,17.975739,23.27007,16.80772,37.21353,30.225649,27.513292,26.484797,33.678375,35.789463,36.43454,33.737785,35.62004,35.162083,32.560158,30.347227,78.6014,80.854034,85.13652,76.693184,78.4132,80.530914,82.55983,75.61004,-2.4517882,-1.9180936,-0.5336946,36.362213,31.578003,29.271872,25.575087,1.1257244,1.0157136,33093936400
2012-11-06,AAPL,0.0,81.54305,26.66207,29.590797,23.043568,20.19208,17.364569,22.528334,16.4173,36.5574,29.791359,27.152985,26.15076,33.2947,35.394573,36.036526,33.396236,35.269577,34.82053,32.267075,78.25022,80.40032,84.92891,76.80011,77.94498,80.08397,82.29623,75.612305,-2.5155966,-2.037594,-0.47800255,25.74776,30.937258,29.20294,25.572594,1.1696931,1.0294456,33000207100
2012-11-07,AAPL,0.0,0.0,24.520674,15.145797,17.104544,14.691674,13.478166,12.156837,16.073183,12.700309,29.912426,25.22484,23.307283,22.564966,29.115532,31.074614,31.676634,29.618324,31.37959,31.023632,77.29411,79.89533,84.66173,76.88792,77.0343,79.40324,81.92917,75.58568,-2.7684011,-2.1837556,-0.58464557,27.57854,33.34462,30.285051,26.560627,0.8291778,1.033496,32801794900
2012-11-08,AAPL,0.0,0.0,0.0,14.971092,10.86503,12.350743,11.04136,10.341597,9.545534,12.742675,10.526397,25.658232,22.13056,20.6407,20.056395,26.124413,27.961624,28.528297,26.847952,28.511213,76.34226,79.273094,84.30918,76.96702,75.807945,78.53525,81.47271,75.53298,-3.146066,-2.3762176,-0.7698482,29.136059,34.58513,31.565292,27.505392,0.8479961,0.95784533,32537758400
2012-11-09,AAPL,100.0,31.49528,17.986881,17.394741,27.883608,21.115547,22.28143,20.161402,19.00714,17.675535,20.332228,17.05392,30.220871,26.287714,24.606426,23.943727,29.456314,31.13342,31.651472,29.864035,75.46696,78.67878,83.98326,77.0352,75.025826,77.86582,81.08186,75.49291,-3.3090286,-2.56278,-0.7462489,33.72555,35.5546,31.019583,27.807972,0.9965711,1.0521266,32770236800
2012-11-12,AAPL,0.0,68.759254,27.552546,16.627987,16.120678,26.083881,20.067041,21.190582,19.264082,18.207586,16.982044,19.559267,16.506771,29.401018,25.66518,24.060148,23.426168,28.864819,30.522821,31.035292,74.63121,78.14016,83.64975,77.101944,74.28538,77.20749,80.68467,75.44775,-3.4431028,-2.7388444,-0.7042583,33.763706,35.363,30.738064,27.732153,1.0082823,1.0909275,32641286300
2012-11-13,AAPL,100.0,1.6281325,68.91996,27.70234,16.732103,16.222237,26.162758,20.132679,21.254389,19.323511,18.264492,17.035917,19.60985,16.551085,29.432703,25.694304,24.088041,23.453554,28.888453,30.545366,73.86847,77.59152,83.3414,77.16701,73.68122,76.61273,80.303406,75.403114,-3.508179,-2.8927114,-0.61546755,34.220253,34.992725,30.772482,27.387903,0.9102499,1.1166312,32774523600
2012-11-14,AAPL,0.0,1.1495856,0.67838955,47.78406,23.520596,15.109565,14.692556,23.963852,18.804861,19.870998,18.173252,17.233494,16.135538,18.603937,15.828725,28.33906,24.856884,23.350548,22.753836,28.086082,73.13998,76.97069,83.01375,77.22443,73.04384,75.99967,79.90624,75.3511,-3.581956,-3.0305603,-0.55139565,33.493732,32.850403,30.662638,26.754288,0.7936472,1.0357178,32655231000
2012-11-15,AAPL,0.0,0.0,0.40351456,0.3244198,30.36585,18.341833,12.789769,12.489708,20.708395,16.739815,17.714417,16.352556,15.587704,14.683943,16.975227,14.63409,26.497475,23.42866,22.085775,21.551216,72.248436,76.17848,82.63134,77.27224,72.25475,75.30483,79.466934,75.28496,-3.7163467,-3.1677175,-0.54862916,31.450256,33.099457,30.159508,26.921148,0.81116223,0.9155287,32457753300
